"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"1";"";"10-XX";"B3F-10XX";"S1";"OMRON SWITCH";"";"B3F-1000";"176432";"36M3542";
"91";"";"DIODE'1N4148'";"DO-35";"D0, D1, D4, D5, D7, D8, D9, D=, DA, DALT, DALTGR, DANY, DB, DBACKSPACE, DC, DCAPSLOCK, DCOPY, DCTRL, DCTRL_DUPE, DD, DDEG, DDELETE, DDOP, DDOP_DUPE, DDOWN, DE, DEND, DENTER, DESC, DF, DF1, DF2, DF3, DF4, DF5, DF6, DF7, DF8, DF9, DF10, DF11, DF12, DG, DH, DHOME, DI, DINSERT, DJ, DK, DKP_SLASH, DL, DLEFT, DM, DMENU, DN, DO, DP, DPASTE, DPAUSE, DPERIOD, DPGDN, DPGUP, DPRTSC, DQ, DQUOTE, DR, DRIGHT, DS, DSCROLLLOCK, DSEM, DSHIFT, DSHIFT_DUPE, DSLASH, DSPACE, DT, DTAB, DTOP, DU, DUND, DUP, DV, DW, DWIN, DWIN_DUPE, DX, DY, DZ, D§, DÄ, DÖ, DÜ";"";"";"";"";"";
"2";"";"IS31FL3733";"LQFP48_7X7";"U1, U2";"310080003";"";"";"";"";
"2";"";"LED3MM";"LED3MM";"LED1, LED2";"LED";"";"";"";"";
"2";"";"LEDSML0805";"SML0805";"INFO1, INFO2";"LED";"";"";"";"";
"5";"0,1uF";"C-EUC1206";"C1206";"C10, C13, C19, C22, C24";"CAPACITOR, European symbol";"";"";"";"";
"6";"0,47uF";"C-EUC1206";"C1206";"C9, C12, C18, C21, C23, C25";"CAPACITOR, European symbol";"";"";"";"";
"8";"100k";"R-EU_R1206";"R1206";"R8, R9, R10, R11, R12, R13, R14, R17";"RESISTOR, European symbol";"";"";"";"";
"5";"100n";"C-EUC1206";"C1206";"C3, C4, C6, C7, C8";"CAPACITOR, European symbol";"";"";"";"";
"1";"100nF";"C-EUC1206";"C1206";"C17";"CAPACITOR, European symbol";"";"";"";"";
"1";"10k";"R-EU_R1206";"R1206";"R6";"RESISTOR, European symbol";"";"";"";"";
"1";"10uF";"CPOL-EUE2-4";"E2-4";"C5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";
"1";"16MHz";"CRYSTALMJ";"MJ";"Q4";"";"";"";"";"";
"1";"1M0";"R-EU_R1206";"R1206";"R18";"RESISTOR, European symbol";"";"";"";"";
"1";"1uF";"C-EUC1206";"C1206";"C2";"CAPACITOR, European symbol";"";"";"";"";
"2";"20k";"R-EU_R1206";"R1206";"REXT1, REXT2";"RESISTOR, European symbol";"";"";"";"";
"2";"22";"R-EU_R1206";"R1206";"R3, R4";"RESISTOR, European symbol";"";"";"";"";
"2";"22pF";"C-EUC1206";"C1206";"C1, C20";"CAPACITOR, European symbol";"";"";"";"";
"2";"22uF";"CPOL-EUE2-4";"E2-4";"C26, C27";"POLARIZED CAPACITOR, European symbol";"";"";"";"";
"4";"270";"R-EU_R1206";"R1206";"R5, R7, R15, R16";"RESISTOR, European symbol";"";"";"";"";
"2";"470nF";"C-EUC1206";"C1206";"C11, C14";"CAPACITOR, European symbol";"";"";"";"";
"2";"4K7";"R-EU_R1206";"R1206";"R1, R2";"RESISTOR, European symbol";"";"";"";"";
"1";"AT90USB1286";"AT90USB-TQFP";"TQFP64";"IC1";"";"";"";"";"";
"1";"ESD";"PINHD-1X2";"1X02";"EGND";"PIN HEADER";"";"";"";"";
"1";"JP1";"PINHD-1X3";"1X03";"BTN";"PIN HEADER";"";"";"";"";
"1";"JP2";"PINHD-1X3";"1X03";"HWB";"PIN HEADER";"";"";"";"";
"1";"JP3";"PINHD-1X3";"1X03";"SER";"PIN HEADER";"";"";"";"";
"1";"JP4";"PINHD-1X4";"1X04";"ISP";"PIN HEADER";"";"";"";"";
"1";"JP5";"PINHD-1X2";"1X02";"I2C";"PIN HEADER";"";"";"";"";
"1";"JP_USB";"PINHD-1X4";"1X04";"JP_USB";"PIN HEADER";"";"";"";"";
"87";"KEYSWITCH-RGBLED-ALPSMX-1U-RGB";"KEYSWITCH-RGBLED-ALPSMX-1U-RGB";"ALPSMX-1U-RGB";"0, 1, 4, 5, 7, 8, 9, =, A, ALT, ALTGR, ANY, B, C, CAPSLOCK, COPY, CTRL, CTRL_DUPE, D, DEG, DELETE, DOP, DOP_DUPE, DOWN, E, END, ESC, F, F1, F2, F3, F4, F5, F6, F7, F8, F9, F10, F11, F12, G, H, HOME, I, INSERT, J, K, KP_SLASH, L, LEFT, M, MENU, N, O, P, PASTE, PAUSE, PERIOD, PGDN, PGUP, PRTSC, Q, QUOTE, R, RIGHT, S, SCROLLLOCK, SEM, SHIFT, SLASH, T, TAB, TOP, U, UND, UP, V, W, WIN, WIN_DUPE, X, Y, Z, §, Ä, Ö, Ü";"";"";"";"";"";
"3";"KEYSWITCH-RGBLED-ALPSMX-2U-RGB";"KEYSWITCH-RGBLED-ALPSMX-2U-RGB";"ALPSMX-2U-RGB";"BACKSPACE, ENTER, SHIFT_DUPE";"";"";"";"";"";
"1";"KEYSWITCH-RGBLED-ALPSMX-6.25U-RGB";"KEYSWITCH-RGBLED-ALPSMX-6.25U-RGB";"ALPSMX-6.25U-RGB";"SPACE";"";"";"";"";"";
"1";"OPT1";"SJ";"SJ";"OPT1";"SMD solder JUMPER";"";"";"";"";
"1";"OPT2";"SJ";"SJ";"OPT2";"SMD solder JUMPER";"";"";"";"";
"1";"PWR";"PINHD-1X2";"1X02";"+5V";"PIN HEADER";"";"";"";"";
